,,0
VA.S,DHPAA.SS,-0.02125967984036283
TFA.G,DHPAA.SS,-0.013473443657058515
DHPAA.SS,DHPAA,-0.007232525041215405
VA.SS,TFA.S,0.006485622673199111
VA.SS,CA.G,0.00742083372756092
DHPAA.SS,CA,0.010744774048969032
TFA.G,DHPAA,0.014925690213566394
VA,DHPAA.SS,0.017081058590063904
TFA.G,DHPAA.GG,0.024240503284896745
VA.SS,Total.TFA,0.028880268458374814
DHPAA.SS,DHPAA.G,0.029349896769326533
CA.G,numVol,0.03344481945520096
VA.GS,TFA.S,0.036578531591192294
Total.TFA,DHPAA,0.037209941484046584
DHPAA,CA.G,0.03730517988064473
VA.GS,DHPAA,0.03784217770566021
TFA.S,DHPAA,0.03883661393366428
VA.GG,TFA.G,0.042100788175852215
TFA.S,DHPAA.GS,0.046581570923963256
TFA.G,DHPAA.GS,0.04723755533356084
Total.TFA,DHPAA.GS,0.04996865342605749
VA.GS,Total.TFA,0.050637613193145914
DHPAA.SS,DHPAA.GS,0.05186877709081129
Total.TFA,DHPAA.GG,0.05264596688311919
TFA.G,numVol,0.05266828601677859
TFA.G,Total.DHPAA,0.0536446956871706
TFA.S,DHPAA.GG,0.05433273161765388
Total.TFA,DHPAA.SS,0.07078303181966829
VA.GG,CA.G,0.07921101551338951
TFA.S,DHPAA.SS,0.08252092497273791
VA.SS,CA.S,0.08520709757503428
VA,numVol,0.08526777868051605
VA.GS,CA.S,0.08645791700315104
DHPAA.SS,CA.S,0.08668351415578211
VA.GS,CA.G,0.08815114481704639
VA.S,numVol,0.08943426532103418
CA.S,numVol,0.09272957808681805
Total.CA,numVol,0.09310649189764617
VA.SS,DHPAA.SS,0.0951452153597514
DHPAA,CA.S,0.09630977923577987
CA,numVol,0.09672662729901262
Total.VA,TFA.G,0.09852272900542515
VA.GS,TFA.G,0.10010745004830085
VA.GS,DHPAA.SS,0.10109854157977848
VA.GG,Total.TFA,0.10333178521966378
Total.TFA,Total.DHPAA,0.1053396109702174
TFA.S,Total.DHPAA,0.1076545573930662
VA.GG,TFA.S,0.10775018413634863
VA.GS,VA.S,0.10986236370541926
VA.S,DHPAA.GS,0.10995735933567587
Total.DHPAA,CA.G,0.1122805919871523
Total.VA,CA.G,0.11366172730750074
CA.S,CA,0.11591848266211636
CA.S,CA.G,0.11821720485368094
DHPAA,Total.CA,0.11966757683225984
VA.S,TFA.G,0.1220050238072286
DHPAA,numVol,0.12254735034844194
TFA.G,CA,0.12330950763075543
VA.GG,DHPAA.SS,0.12346943148339068
DHPAA.GG,CA.G,0.12465552573138654
Total.DHPAA,DHPAA.SS,0.12481993663157512
Total.TFA,numVol,0.12483912575289988
VA.GS,Total.DHPAA,0.1261236983887272
DHPAA.SS,DHPAA.GG,0.12741118248399902
VA.SS,TFA.G,0.12746844808249785
Total.VA,DHPAA.SS,0.12818133676087837
Total.VA,TFA.S,0.1291020212643932
DHPAA.GS,CA.G,0.1294835615829153
VA.SS,DHPAA,0.12976739458102327
TFA.S,numVol,0.12985446519703683
DHPAA.SS,numVol,0.13002988399481705
DHPAA.G,CA.G,0.13016305226606015
VA.GS,DHPAA.GS,0.13130343629250385
VA.SS,VA.S,0.13224363467009523
Total.VA,Total.TFA,0.1325241644956903
TFA.S,CA,0.13264568866192616
TFA.S,CA.G,0.1370125405009657
DHPAA.GS,CA,0.13799520646166857
DHPAA,CA,0.13842875357317727
VA.SS,Total.CA,0.13947354769560072
Total.TFA,CA,0.14018108969808388
DHPAA.SS,Total.CA,0.14338399166741267
DHPAA.GS,numVol,0.14511666827934863
VA.S,CA.S,0.1463387400862245
DHPAA.SS,CA.G,0.15043438580435398
Total.TFA,CA.G,0.15082064361831501
VA,TFA.S,0.15259462799915097
VA.S,CA.G,0.1526841501159595
VA.SS,VA.GS,0.15402821209002227
DHPAA.GS,DHPAA,0.1549200615551592
VA.GS,DHPAA.GG,0.15552470875443905
VA.S,VA,0.15682190737822405
