,,0
CA.S,numVol,-0.20678544654605296
Total.CA,numVol,-0.13865930617742614
CA.GS,numVol,-0.10998933386850389
TFA.di.sulfate.1,numVol,-0.10639618958825336
VA.GG,TFA.di.sulfate.1,-0.10359686276451618
VA,CA.S,-0.09453476017630831
VA.GS,numVol,-0.09132468201310538
TFA.di.sulfate.1,DHPAA.GG,-0.08251287861657959
TIFA.Sulfate.1,DHPAA,-0.07594160707012892
DHPAA.G,CA.S,-0.07204292042880739
Total.VA,CA.S,-0.06992552575683983
Total.VA,TFA.di.sulfate.1,-0.0643790109253722
TFA.di.sulfate.1,DHPAA.SS,-0.06109764601028885
VA.GS,TFA.di.sulfate.1,-0.060056117759282164
VA,TFA.di.sulfate.1,-0.059250374342839106
DHPAA,numVol,-0.05253167822410056
TFA.G,DHPAA.GG,-0.047105890843981334
Total.DHPAA,CA.S,-0.04632861185522297
TFA.G,numVol,-0.04172479939372602
CA.G,numVol,-0.04017533826599615
VA,TIFA.Sulfate.1,-0.03383137012252394
VA,TFA.G,-0.03315360736439205
TIFA.Sulfate.1,DHPAA.GG,-0.027963488436219913
TFA.di.sulfate.1,Total.DHPAA,-0.02382823506040473
CA.S,CA.G,-0.02382428584664068
TIFA.Sulfate.1,CA,-0.02371603523009916
Total.VA,TIFA.Sulfate.1,-0.02036525062259563
TIFA.Sulfate.1,TFA.G,-0.018867420414413406
TFA.di.sulfate.1,DHPAA.G,-0.018472305822035733
TFA.S,CA.S,-0.01835705462776522
DHPAA.GG,CA.GS,-0.017423776883611134
VA,DHPAA.SS,-0.017053862360757115
Total.TFA,CA.S,-0.01564961167201874
VA.GS,VA,-0.01527204979983125
TIFA.Sulfate.1,CA.S,-0.013504601140209729
DHPAA.GS,CA.G,-0.012702693754856447
TFA.G,DHPAA.G,-0.012546284534729042
TFA.G,DHPAA,-0.0100485371285218
CA.S,CA,-0.007863296589449502
TIFA.Sulfate.1,Total.CA,-0.007677822298723813
TIFA.Sulfate.1,DHPAA.G,-0.00743175060372558
DHPAA.SS,DHPAA,-0.007221687156261106
TFA.di.sulfate.1,DHPAA.GS,-0.007033424192805023
TIFA.Sulfate.1,Total.DHPAA,-0.006205483616322987
TFA.di.sulfate.1,CA,-0.0036864414129702604
TFA.S,TFA.G,-0.002485972341882214
TFA.G,Total.DHPAA,-0.001962283621856799
TIFA.Sulfate.1,numVol,-0.001956317459552368
VA.SS,VA,0.0007764145605011202
TIFA.Sulfate.1,CA.G,0.0027174420681260305
VA.GS,DHPAA.GG,0.004150063174673224
DHPAA.GS,numVol,0.005541494917904547
TIFA.Sulfate.1,TFA.di.sulfate.1,0.006070744238454734
Total.VA,TFA.G,0.007693318903312041
Total.TFA,TFA.G,0.010400715412446956
TFA.G,CA,0.017405277944953446
TFA.di.sulfate.1,TFA.G,0.019015829724784213
TIFA.Sulfate.1,CA.GS,0.025655698983841166
VA.SS,numVol,0.025811439485934885
DHPAA.GG,CA.G,0.028529831402929914
VA.GS,CA.G,0.030427070792874295
VA.SS,TFA.di.sulfate.1,0.030687928628191693
VA.SS,DHPAA,0.0316894466757068
TFA.di.sulfate.1,CA.G,0.035429154436153056
VA.SS,CA.G,0.03571971906041142
VA.GS,TFA.S,0.03799529184196377
DHPAA.GS,DHPAA.GG,0.03822976634506421
DHPAA.SS,DHPAA.GG,0.03843333179813891
VA.GG,TIFA.Sulfate.1,0.04088031747439562
TFA.G,DHPAA.GS,0.0418549336032495
VA.GS,CA,0.04300390625062023
VA.GS,Total.TFA,0.04315805327602016
Total.VA,DHPAA.SS,0.043923122327031286
TFA.G,CA.G,0.04603386620945752
VA.SS,DHPAA.GG,0.04807127331021629
TFA.S,DHPAA.SS,0.05040555501225339
TIFA.Sulfate.1,Total.TFA,0.051412803862832604
TIFA.Sulfate.1,TFA.S,0.05165700958398555
DHPAA.GG,DHPAA.G,0.051921742252689695
Total.TFA,DHPAA.SS,0.05238070707025831
DHPAA.SS,numVol,0.05778746227197704
DHPAA.SS,CA.S,0.058580779492252565
VA,DHPAA.GS,0.05922001844224799
Total.TFA,DHPAA.GG,0.06253736878642527
TFA.S,DHPAA.GG,0.06316749355753812
DHPAA.GG,Total.CA,0.06793659569043846
DHPAA.GG,DHPAA,0.06901058221722721
DHPAA.SS,DHPAA.G,0.06985061222616258
VA,DHPAA.GG,0.07036419077420686
DHPAA.GG,CA.S,0.07068025538529323
Total.DHPAA,DHPAA.GG,0.07167587949211911
TFA.di.sulfate.1,DHPAA,0.07237131425643141
DHPAA.GG,CA,0.07312651741631986
Total.VA,VA.SS,0.0739278111871225
VA.SS,CA,0.0756241082694328
Total.VA,DHPAA.GG,0.07643998698501127
Total.VA,VA.GS,0.08288254177786714
CA,numVol,0.08364366405458
VA,Total.CA,0.08974624941419117
DHPAA.SS,CA.G,0.09241316311765227
VA.GS,DHPAA.G,0.09346411111029232
VA.SS,DHPAA.G,0.0944803396429498
VA.GS,TIFA.Sulfate.1,0.09649305270614371
VA.GG,numVol,0.10216483951758837
VA.SS,Total.CA,0.10709964221302737
Total.VA,Total.CA,0.1074916728611355
VA.GG,CA.G,0.10895920725473476
TFA.di.sulfate.1,TFA.S,0.11058582890946789
Total.TFA,TFA.di.sulfate.1,0.11111986819422137
VA.GS,DHPAA,0.1135024018421759
DHPAA.GS,DHPAA.G,0.11549640109270766
DHPAA.SS,Total.CA,0.11555023146583134
DHPAA.GS,CA,0.11595123989876684
VA.SS,TFA.S,0.11786485274457872
DHPAA.SS,CA,0.1195827539507068
Total.VA,DHPAA.GS,0.11960527977757641
VA.SS,Total.TFA,0.11968543547420023
Total.DHPAA,DHPAA.SS,0.12970557925440454
VA.GS,Total.DHPAA,0.1322071804277334
CA.GS,CA.G,0.1328806219742334
DHPAA.GG,numVol,0.1347144192563888
VA.SS,CA.S,0.13546019114028876
DHPAA.SS,CA.GS,0.13868414967764497
DHPAA.GS,Total.CA,0.13879787568586843
VA.GG,CA.S,0.1390884968423409
TFA.di.sulfate.1,Total.CA,0.13953311376922115
VA.SS,TFA.G,0.14132566252017476
VA.GG,VA,0.14319342159650528
VA.SS,Total.DHPAA,0.14330792081962768
VA.GG,DHPAA,0.145969113234563
TIFA.Sulfate.1,DHPAA.SS,0.14604596170047918
Total.DHPAA,Total.CA,0.14617143245994427
VA.GS,Total.CA,0.1466779492224151
DHPAA,CA.S,0.14687965441399353
DHPAA.G,Total.CA,0.1474874609338796
VA.SS,TIFA.Sulfate.1,0.14808331512039288
