numVol;Sex
1;MUJER
2;MUJER
3;MUJER
4;MUJER
5;MUJER
6;HOMBRE
7;MUJER
8;MUJER
9;MUJER
10;MUJER
11;MUJER
12;MUJER
13;MUJER
14;MUJER
15;MUJER
16;MUJER
17;MUJER
18;MUJER
19;MUJER
20;MUJER
21;HOMBRE
22;HOMBRE
23;HOMBRE
24;HOMBRE
25;HOMBRE
26;HOMBRE
27;HOMBRE
28;HOMBRE
29;HOMBRE
30;HOMBRE
31;HOMBRE
32;HOMBRE
33;HOMBRE
34;HOMBRE
35;HOMBRE
36;HOMBRE
37;HOMBRE
38;HOMBRE
39;HOMBRE
40;HOMBRE
41;HOMBRE
42;HOMBRE
43;HOMBRE
44;HOMBRE
45;HOMBRE
46;HOMBRE
51;MUJER
52;MUJER
53;MUJER
54;MUJER
55;MUJER
56;MUJER
57;MUJER
58;MUJER
59;MUJER
60;MUJER
61;MUJER
62;MUJER
63;HOMBRE
64;MUJER
65;MUJER
66;MUJER
67;MUJER
68;MUJER
69;HOMBRE
70;MUJER
71;HOMBRE
72;HOMBRE
73;HOMBRE
74;MUJER
75;HOMBRE
76;HOMBRE
77;HOMBRE
78;HOMBRE
79;HOMBRE
80;HOMBRE
81;HOMBRE
82;HOMBRE
83;HOMBRE
84;HOMBRE
85;HOMBRE
86;HOMBRE
87;HOMBRE
88;HOMBRE
89;HOMBRE
90;HOMBRE
91;HOMBRE
92;HOMBRE
93;HOMBRE
94;HOMBRE
95;HOMBRE
96;HOMBRE
101;MUJER
102;MUJER
103;MUJER
104;MUJER
105;MUJER
106;MUJER
107;MUJER
108;MUJER
109;MUJER
110;MUJER
111;MUJER
112;MUJER
113;MUJER
114;MUJER
115;MUJER
116;MUJER
117;MUJER
118;MUJER
119;MUJER
120;MUJER
121;HOMBRE
122;HOMBRE
123;HOMBRE
124;HOMBRE
125;HOMBRE
126;HOMBRE
127;HOMBRE
128;HOMBRE
129;HOMBRE
130;HOMBRE
131;HOMBRE
132;HOMBRE
133;HOMBRE
134;HOMBRE
135;HOMBRE
136;HOMBRE
137;HOMBRE
138;HOMBRE
139;HOMBRE
140;HOMBRE
141;HOMBRE
142;HOMBRE
143;HOMBRE
144;HOMBRE
145;HOMBRE
146;HOMBRE
