,,0
Frec,Total.DHPAA,-0.23868151943821547
Frec,DHPAA,-0.22230355087272444
Fat,numVol,-0.18993631049859658
Fat,Total.CA,-0.1879747724575462
Fat,Weight,-0.1764200951891743
Fat,VA.S,-0.1640649604651448
Fat,CA.G,-0.16147383445976643
Frec,DHPAA.GG,-0.1463455637768808
Frec,VA.GG,-0.14242868627107805
Frec,Total.VA,-0.1382364576674245
Frec,CA.G,-0.13794560753995228
Frec,Total.CA,-0.13494625355785103
Frec,DHPAA.G,-0.12337260869808953
Bpmin,Fat,-0.11929527727085341
Bpmax,DHPAA.SS,-0.11417752596858559
Bpmax,Fat,-0.10523919147488256
BMI,CA.G,-0.10154628441246691
Weight,DHPAA.GS,-0.10074270476710587
BMI,Total.CA,-0.09663044087040597
CVRI,Fat,-0.09570083077118514
Fat,CA,-0.09389881183348675
Fat,DHPAA.GG,-0.08971623600096702
Frec,VA,-0.08910236122111438
Fat,Total.VA,-0.08775096486200326
Bpmin,CA.G,-0.08620490089287419
Fat,VA,-0.08521823339120169
Fat,CA.S,-0.08466750279657788
CVRI,DHPAA.GS,-0.07748760390694573
Bpmin,DHPAA.SS,-0.07520676943504606
Frec,DHPAA.SS,-0.05827579716482193
Frec,VA.GS,-0.058240805441105215
Fat,VA.GG,-0.056684961521450444
Frec,VA.S,-0.056068222617163814
Frec,Weight,-0.055481611635804444
Frec,numVol,-0.055212360440414276
Fat,TFA.G,-0.05515192452177682
BMI,CA,-0.05115608630288947
Fat,Total.TFA,-0.04915123309179102
Frec,CA,-0.04824498091751864
BMI,DHPAA.GS,-0.04686165963175539
Bpmax,Total.DHPAA,-0.046340274885616956
Fat,TFA.S,-0.044064819244103964
Fat,Total.DHPAA,-0.043587288806622486
Bpmax,DHPAA,-0.042791233473816304
Bpmax,DHPAA.GG,-0.04231829287053941
Bpmax,CA.G,-0.042025428120045505
Fat,DHPAA.GS,-0.03967230592708138
Fat,VA.GS,-0.03753230568327248
Frec,CVRI,-0.03663037154069737
Frec,BMI,-0.035322388397216145
Fat,VA.SS,-0.03259746534179968
CVRI,CA,-0.02658570688846201
Bpmin,Total.CA,-0.024762858154423608
Fat,DHPAA.SS,-0.024582904345458626
VA.S,DHPAA.SS,-0.020830435865548756
Frec,CA.S,-0.01967501985617035
Bpmin,Total.DHPAA,-0.017515556680590322
Bpmin,DHPAA,-0.01751265075342709
Fat,DHPAA,-0.017162473906904636
TFA.G,DHPAA.SS,-0.01614070444306575
Frec,TFA.S,-0.015640855857087254
Bpmin,DHPAA.GG,-0.015196143223407226
BMI,DHPAA.SS,-0.012741353049791801
Bpmin,VA.GG,-0.011011094579393865
CVRI,VA,-0.006364733016204872
Frec,Total.TFA,-0.004975996242998458
DHPAA.SS,DHPAA,-0.003267225529585532
Weight,DHPAA.SS,-0.0031559651020921847
Weight,DHPAA,-0.0013073470118389456
CVRI,CA.G,0.00029663907805716096
BMI,VA.S,0.0014805986089281298
BMI,VA,0.0036255525205229865
Bpmax,numVol,0.00378090902621979
Weight,VA,0.004183249880605288
VA.SS,TFA.S,0.00520016857596889
VA.SS,CA.G,0.006160278784563312
CVRI,DHPAA.GG,0.0072188853503825645
Fat,DHPAA.G,0.007799347092644957
Bpmin,DHPAA.GS,0.008088712238002758
CVRI,DHPAA,0.0114683475730965
BMI,DHPAA,0.01276041540182474
CVRI,Total.CA,0.013308797264408955
