,,0
Bpmin,CA.S,-0.21605028441690982
BMI,CA.S,-0.20991634305539555
CA.S,numVol,-0.20678544654605296
CVRI,CA.S,-0.19684009860689697
Bpmax,CA.S,-0.19128575600308692
Weight,TFA.di.sulfate.1,-0.18706514704149876
Fat,DHPAA.GG,-0.17059925577121424
Weight,CA.S,-0.15923502593388164
BMI,Total.CA,-0.154546340414377
CVRI,Total.CA,-0.15415369088509848
Fat,numVol,-0.14961179001677358
CVRI,DHPAA,-0.1457265337853358
Weight,Total.CA,-0.14320203055999664
Weight,CA.GS,-0.14202919089559315
Total.CA,numVol,-0.13865930617742614
Bpmin,DHPAA.GG,-0.13842621929369944
Fat,Weight,-0.1378475673564308
Bpmax,DHPAA,-0.1368716716191673
Bpmin,Total.CA,-0.13338179296106484
Weight,DHPAA,-0.13055305330054828
BMI,DHPAA.GG,-0.12257910192483666
Bpmin,VA.GG,-0.11170673910561803
CA.GS,numVol,-0.10998933386850389
Bpmin,DHPAA,-0.1099798709620594
Frec,DHPAA.GG,-0.10926305146476817
Bpmax,DHPAA.GG,-0.10896679507189107
TFA.di.sulfate.1,numVol,-0.10639618958825336
Bpmax,Total.CA,-0.10599868021691922
VA.GG,TFA.di.sulfate.1,-0.10359686276451618
CVRI,TFA.di.sulfate.1,-0.10238322506277632
Weight,CA,-0.10135791877536125
BMI,CA,-0.10057205677516345
VA,CA.S,-0.09453476017630831
Bpmin,Fat,-0.09393654535090745
CVRI,DHPAA.GG,-0.09201380993520356
VA.GS,numVol,-0.09132468201310538
TFA.di.sulfate.1,DHPAA.GG,-0.08251287861657959
Frec,numVol,-0.08148343515861585
Bpmin,Total.TFA,-0.08085614742809015
Bpmin,TFA.S,-0.0802382489931304
CVRI,TFA.G,-0.07619144604509509
Bpmax,Fat,-0.0760092340070595
TIFA.Sulfate.1,DHPAA,-0.07594160707012892
Frec,TFA.S,-0.07225783548637199
DHPAA.G,CA.S,-0.07204292042880739
Frec,Total.TFA,-0.07179784236327617
Total.VA,CA.S,-0.06992552575683983
CVRI,DHPAA.SS,-0.06931565680897868
Weight,TFA.G,-0.06705772719385772
BMI,DHPAA.SS,-0.06665721461451417
Total.VA,TFA.di.sulfate.1,-0.0643790109253722
Bpmax,TFA.di.sulfate.1,-0.06351479652843996
Fat,TFA.S,-0.06351279529921634
CVRI,CA.GS,-0.06334690835122218
Frec,CA.GS,-0.06309562302807016
Weight,VA.GS,-0.06243841323059052
Fat,Total.TFA,-0.062144266777838846
TFA.di.sulfate.1,DHPAA.SS,-0.06109764601028885
Fat,DHPAA.SS,-0.06106187959432424
VA.GS,TFA.di.sulfate.1,-0.060056117759282164
VA,TFA.di.sulfate.1,-0.059250374342839106
BMI,TFA.di.sulfate.1,-0.0591966691521912
Weight,CA.G,-0.05891013478873318
Bpmax,VA.GG,-0.05691209370922485
Fat,CA,-0.05453442273194675
Bpmin,CA,-0.053844775151442884
CVRI,VA.SS,-0.0534030403673817
DHPAA,numVol,-0.05253167822410056
BMI,Total.TFA,-0.05247397286233798
CVRI,CA.G,-0.052427041322112324
BMI,TFA.S,-0.05212199390088419
BMI,VA.GG,-0.05116982437673638
Weight,DHPAA.GG,-0.050853653688185965
CVRI,CA,-0.05069458666613443
Bpmin,CA.GS,-0.04954352097346873
Bpmin,TFA.G,-0.048357463586631615
TFA.G,DHPAA.GG,-0.047105890843981334
Weight,DHPAA.SS,-0.047071742748673415
Total.DHPAA,CA.S,-0.04632861185522297
CVRI,Fat,-0.04529936564791647
Bpmin,VA.SS,-0.04256731894764442
TFA.G,numVol,-0.04172479939372602
Fat,CA.S,-0.041520952247560625
CA.G,numVol,-0.04017533826599615
BMI,CA.G,-0.03904407111113802
Fat,VA.SS,-0.0372996486538649
Weight,VA.GG,-0.03678874931810222
CVRI,Total.DHPAA,-0.03631056964942703
VA,TIFA.Sulfate.1,-0.03383137012252394
VA,TFA.G,-0.03315360736439205
Bpmax,Total.TFA,-0.03251250040721364
Bpmax,TFA.S,-0.03213049728236431
BMI,DHPAA,-0.030935538546803018
Frec,VA,-0.02943287995374425
Bpmax,TFA.G,-0.028556954742960165
TIFA.Sulfate.1,DHPAA.GG,-0.027963488436219913
BMI,TFA.G,-0.02656945145877621
CVRI,TIFA.Sulfate.1,-0.026379202104573816
CVRI,DHPAA.G,-0.026098739829210533
Frec,VA.GG,-0.02606679342986404
TFA.di.sulfate.1,Total.DHPAA,-0.02382823506040473
CA.S,CA.G,-0.02382428584664068
TIFA.Sulfate.1,CA,-0.02371603523009916
Fat,VA.GG,-0.02268501494681013
Weight,Total.TFA,-0.02141069947863414
Frec,Total.VA,-0.021377104205527922
Frec,CA,-0.02129199695087458
Weight,TFA.S,-0.02050448874667418
Total.VA,TIFA.Sulfate.1,-0.02036525062259563
Frec,Weight,-0.020275809712353033
TIFA.Sulfate.1,TFA.G,-0.018867420414413406
TFA.di.sulfate.1,DHPAA.G,-0.018472305822035733
TFA.S,CA.S,-0.01835705462776522
DHPAA.GG,CA.GS,-0.017423776883611134
VA,DHPAA.SS,-0.017053862360757115
Fat,DHPAA.GS,-0.016207508078693336
Bpmin,Total.DHPAA,-0.015777186826566213
Total.TFA,CA.S,-0.01564961167201874
VA.GS,VA,-0.01527204979983125
Frec,DHPAA.G,-0.014858167349406612
Frec,Total.DHPAA,-0.01463706081645431
Bpmin,DHPAA.SS,-0.014600672957905852
Bpmin,CA.G,-0.013808738418834792
TIFA.Sulfate.1,CA.S,-0.013504601140209729
Bpmin,DHPAA.G,-0.01309648256999175
Frec,CVRI,-0.013030475791356659
DHPAA.GS,CA.G,-0.012702693754856447
TFA.G,DHPAA.G,-0.012546284534729042
Bpmin,VA.GS,-0.011780174822300198
Bpmin,Total.VA,-0.011586688514100153
CVRI,DHPAA.GS,-0.010367756503084082
TFA.G,DHPAA,-0.0100485371285218
Weight,DHPAA.GS,-0.008621049264266227
Frec,VA.SS,-0.008559578308452746
Bpmax,CA.G,-0.007902791807426878
CA.S,CA,-0.007863296589449502
TIFA.Sulfate.1,Total.CA,-0.007677822298723813
TIFA.Sulfate.1,DHPAA.G,-0.00743175060372558
DHPAA.SS,DHPAA,-0.007221687156261106
Bpmax,VA.GS,-0.007097272528034635
TFA.di.sulfate.1,DHPAA.GS,-0.007033424192805023
Bpmin,VA,-0.006895515549100535
TIFA.Sulfate.1,Total.DHPAA,-0.006205483616322987
Weight,VA.SS,-0.005898134249080667
BMI,TIFA.Sulfate.1,-0.005769112216720326
Frec,DHPAA,-0.00437118827926765
Frec,TIFA.Sulfate.1,-0.0043253153368641075
CVRI,VA.GG,-0.0037641120703918772
TFA.di.sulfate.1,CA,-0.0036864414129702604
Fat,TIFA.Sulfate.1,-0.002675592280652447
TFA.S,TFA.G,-0.002485972341882214
TFA.G,Total.DHPAA,-0.001962283621856799
TIFA.Sulfate.1,numVol,-0.001956317459552368
Fat,Total.CA,-0.0008625165372340515
Frec,CA.S,-0.0005641815034466516
VA.SS,VA,0.0007764145605011202
TIFA.Sulfate.1,CA.G,0.0027174420681260305
Bpmax,CA.GS,0.003456818804511691
Bpmin,TFA.di.sulfate.1,0.003473610042394416
VA.GS,DHPAA.GG,0.004150063174673224
DHPAA.GS,numVol,0.005541494917904547
TIFA.Sulfate.1,TFA.di.sulfate.1,0.006070744238454734
Total.VA,TFA.G,0.007693318903312041
CVRI,VA.GS,0.00820695252914451
BMI,VA.SS,0.00994845972513106
Total.TFA,TFA.G,0.010400715412446956
BMI,CA.GS,0.01120346522052589
Bpmax,VA,0.011963388814819275
Frec,BMI,0.011975755425571121
Bpmax,Total.VA,0.01238243200078006
CVRI,Total.VA,0.01409053614228264
BMI,VA.GS,0.014681018692881055
CVRI,VA,0.015536771691079261
Frec,Total.CA,0.015784069520218477
TFA.G,CA,0.017405277944953446
BMI,DHPAA.GS,0.017816555620966658
TFA.di.sulfate.1,TFA.G,0.019015829724784213
Frec,CA.G,0.022469042301007824
Weight,Total.DHPAA,0.022836045929755733
TIFA.Sulfate.1,CA.GS,0.025655698983841166
VA.SS,numVol,0.025811439485934885
Frec,Fat,0.026272389418652755
Weight,DHPAA.G,0.027457896355452985
Bpmax,numVol,0.027944884574865464
DHPAA.GG,CA.G,0.028529831402929914
Frec,DHPAA.SS,0.030061636928190427
VA.GS,CA.G,0.030427070792874295
VA.SS,TFA.di.sulfate.1,0.030687928628191693
VA.SS,DHPAA,0.0316894466757068
Fat,CA.G,0.032204830609514616
Frec,TFA.di.sulfate.1,0.033657021133128864
CVRI,Total.TFA,0.03487414314411219
Bpmax,DHPAA.G,0.03488918628632636
TFA.di.sulfate.1,CA.G,0.035429154436153056
VA.SS,CA.G,0.03571971906041142
CVRI,TFA.S,0.035876321480816674
Frec,TFA.G,0.03593475247262266
VA.GS,TFA.S,0.03799529184196377
