,,0
HE.GG,E,-0.47403777838904976
N.GG,HE.GG,-0.44479835291316877
HE,E,-0.37156585496437233
N.GG,HE,-0.31604567794574107
N.S,HE,-0.253887505607501
HE,E.S,-0.23851240979322585
Total.N,HE.GG,-0.23597140523807328
N.S,HE.GG,-0.22891570646070009
Fat,HE,-0.22398152312743033
N.G,HE.GG,-0.20899471822683158
Fat,HE.GG,-0.18579649666074532
HE.GG,E.S,-0.1829112045446926
Weight,Total.HE,-0.15874895628552638
Weight,HE.G,-0.15867966864756175
Weight,E,-0.1512637954873253
Total.N,HE,-0.14964181876933855
Fat,numVol,-0.14961179001677427
Fat,Weight,-0.13784756735643094
Weight,N.GG,-0.13146378191679753
CVRI,HE.G,-0.13132305260272856
CVRI,Total.HE,-0.1313155488878841
HE.GG,HE.G,-0.12666909134203863
Total.HE,HE.GG,-0.1257744021956086
N.G,HE,-0.12565917605988372
HE,Total.E,-0.11487984491552347
HE,EG.1,-0.11374548676032352
Bpmin,E,-0.10468442155995927
Fat,N,-0.10149213660701432
BMI,HE,-0.09805979143906496
Bpmin,HE.G,-0.09639062372384896
Bpmin,Total.HE,-0.09622079336623729
HE.GG,Total.E,-0.09527461739949321
HE.GG,EG.1,-0.0943273749783737
Bpmin,Fat,-0.0939365453509076
Weight,Total.N,-0.08861683489457393
CVRI,N.GG,-0.0857563202292586
Weight,N.S,-0.08534031856054715
BMI,HE.G,-0.08346002649826037
BMI,Total.HE,-0.08342065293490344
BMI,N.S,-0.0822665434354097
Frec,numVol,-0.08148343515861516
Weight,N.G,-0.08030266357958116
Bpmax,Fat,-0.07600923400705963
Frec,EG.1,-0.07593719865797384
Frec,Total.E,-0.07590605266647446
BMI,HE.GG,-0.07107676937299354
CVRI,Total.N,-0.06834987015845337
N,EG.1,-0.064191715035899
N,Total.E,-0.06415019100490368
CVRI,N.G,-0.062032643785952066
N.GG,numVol,-0.059244756268989555
Bpmax,HE.GG,-0.058290007834930636
Frec,HE,-0.05769109639808523
Weight,E.S,-0.0558932462408346
Bpmin,N.GG,-0.055152943537693774
BMI,N.GG,-0.05477525956706444
Bpmin,Total.N,-0.05395935942847052
Bpmin,N.G,-0.05072617281835169
CVRI,N.S,-0.04995969573025062
CVRI,N,-0.04830145296114473
BMI,N,-0.04820839177069565
CVRI,Fat,-0.04529936564791671
Bpmax,HE,-0.042160868156388344
Bpmin,N.S,-0.03506421267191912
Frec,E,-0.03304855838413022
Frec,N.G,-0.03207139779533882
Frec,HE.GG,-0.0318626781752029
